NAME	DESCRIPTION	WT_Ctrl_rep_1	WT_Ctrl_rep_2	WT_Ctrl_rep_3	WT_Rap_rep_1	WT_Rap_rep_2	WT_Rap_rep_3	AP2_F_Ctrl_rep_1	AP2_F_Ctrl_rep_2	AP2_F_Ctrl_rep_3	AP2_F_Rap_rep_1	AP2_F_Rap_rep_2	AP2_F_Rap_rep_3
cgd7_660-RA	na	3.010884513	5.056554028	3.010884513	3.935662614	4.142445442	3.932083313	4.42092872	3.010884513	3.779961752	3.719397979	4.721855065	4.476275426
cgd7_680-RA	na	4.278151787	3.010884513	3.010884513	3.010884513	3.684873515	4.489792337	4.629976465	3.997368832	3.010884513	4.192457143	4.952840553	4.987482059
cgd7_7-RA	na	16.50045345	17.00239428	18.16836893	15.99456217	16.83882757	16.04047195	15.57916929	16.0092398	16.07362856	16.10110959	15.48416333	15.77422546
cgd7_70-RA	na	4.942228651	5.306845616	4.846340699	5.468205933	6.138718852	5.462014094	5.622170287	4.99056321	4.943216998	5.886899387	6.079535064	5.521092207
cgd7_710-RA	na	3.010884513	3.010884513	3.010884513	3.010884513	4.142445442	3.932083313	3.88172386	3.010884513	4.278934887	4.548110207	4.721855065	4.754403979
cgd7_720-RA	na	3.779408455	3.010884513	4.846340699	4.242063963	5.203984388	4.489792337	4.176371886	4.577797821	4.943216998	3.719397979	4.446703726	5.364177671
cgd7_770-RA	na	4.648067155	3.010884513	4.846340699	4.242063963	5.00270712	5.20457829	4.868587159	5.31112632	3.010884513	3.010884513	4.721855065	4.754403979
cgd7_780-RA	na	3.779408455	3.010884513	3.010884513	3.546137356	3.684873515	3.932083313	3.9867697	3.010884513	3.779961752	4.192457143	4.952840553	3.010884513
cgd7_790-RA	na	4.278151787	5.520066618	5.085065539	5.210499987	5.537911431	4.489792337	4.629976465	3.997368832	3.779961752	4.548110207	3.660226329	3.010884513
cgd7_810-RA	na	5.395253729	3.844513052	4.560125758	4.896527863	5.00270712	4.89100757	4.868587159	3.997368832	3.779961752	4.192457143	4.106407252	4.476275426
cgd7_830-RA	na	5.186450583	4.753531578	4.560125758	3.010884513	4.768724174	3.010884513	3.64546324	3.997368832	3.010884513	3.010884513	4.446703726	3.010884513
cgd7_850-RA	na	6.541066345	6.38744507	6.867513966	6.675264835	5.80889005	6.323677733	6.758368367	5.794991581	6.251222218	5.454182522	5.97831686	5.791462568
cgd7_860-RA	na	5.577622184	3.844513052	4.202713186	3.935662614	3.684873515	4.89100757	4.176371886	3.010884513	4.943216998	4.192457143	5.151897008	4.754403979
cgd7_870-RA	na	3.010884513	3.010884513	3.010884513	3.010884513	3.684873515	3.010884513	4.084683297	3.997368832	3.010884513	4.192457143	4.106407252	3.677302643
cgd7_880-RA	na	4.278151787	5.306845616	4.846340699	5.345099518	5.203984388	3.932083313	5.555428773	6.156693393	5.396336689	4.192457143	5.326789012	4.987482059
cgd7_890-RA	na	3.010884513	3.844513052	3.010884513	3.546137356	3.010884513	4.489792337	3.88172386	3.010884513	3.779961752	4.192457143	4.446703726	3.677302643
cgd7_90-RA	na	4.278151787	4.369463144	5.085065539	4.242063963	3.684873515	3.010884513	3.88172386	3.010884513	4.278934887	4.548110207	4.721855065	4.131405811
cgd7_910-RA	na	7.76739872	7.258031813	7.94359238	8.030752214	7.459900472	8.101164775	7.800476581	6.985437843	7.691562181	8.667990525	8.121026225	8.522532763
cgd7_940-RA	na	6.138317333	6.492197259	5.469128481	6.264076021	7.000655508	5.462014094	5.555428773	4.577797821	5.187493604	5.071138554	5.326789012	5.18808976
cgd7_950-RA	na	6.017229167	6.589855693	6.867513966	6.953331051	6.486375601	6.447921793	7.088462944	6.985437843	6.925792308	7.085816911	6.174115075	6.926507005
cgd7_970-RA	na	3.010884513	3.844513052	3.726523662	3.010884513	3.010884513	4.489792337	3.64546324	3.010884513	3.010884513	3.010884513	4.721855065	4.476275426
cgd7_980-RA	na	5.577622184	5.306845616	4.560125758	3.546137356	4.489304987	4.89100757	4.343925749	3.997368832	4.278934887	3.010884513	4.721855065	5.909751403
Cgd8_1390-RA	na	4.278151787	3.844513052	4.560125758	4.494653587	3.684873515	3.932083313	4.629976465	3.997368832	4.648976093	4.192457143	5.869457833	5.909751403
cgd8_100-RA	na	4.278151787	3.010884513	3.010884513	4.494653587	5.203984388	4.489792337	4.343925749	4.99056321	4.648976093	3.010884513	4.721855065	4.987482059
cgd8_1020-RA	na	4.648067155	4.753531578	5.628579063	5.345442174	4.60080846	5.017035775	5.765984403	4.99056321	3.779961752	3.719397979	5.464503735	5.909751399
cgd8_1030-RA	na	3.779408455	4.753531578	5.469128481	4.494653587	5.203984388	3.932083313	5.520863291	5.31112632	3.779961752	4.548110207	5.482753432	5.521092207
cgd8_1040-RA	na	3.010884513	3.844513052	4.202713186	4.494653587	4.142445442	4.489792337	4.343925749	4.577797821	4.648976093	3.719397979	3.660226329	4.476275426
cgd8_1050-RA	na	4.648067155	5.056554028	5.77214752	5.345099518	5.203984388	5.68039417	5.209739543	5.573250018	4.648976093	4.548110207	5.482753432	5.909751403
cgd8_1060-RA	na	3.010884513	3.010884513	3.010884513	3.935662614	4.489304987	3.932083313	3.88172386	3.997368832	4.648976093	4.192457143	4.952840553	4.131405811
cgd8_1080-RA	na	4.942228651	3.844513052	5.90271311	4.242063963	5.00270712	4.489792337	5.165670937	4.577797821	5.740640739	4.192457143	5.326789012	4.476275426
cgd8_1113-RA	na	3.010884513	3.010884513	4.202713186	3.010884513	4.489304987	3.932083313	3.9867697	3.010884513	4.278934887	3.719397979	4.721855065	3.010884513
cgd8_1120-RA	na	3.010884513	3.010884513	3.010884513	3.010884513	3.684873515	3.010884513	3.511037221	4.577797821	4.648976093	3.010884513	3.660226329	4.754403979
cgd8_1150-RA	na	5.577622184	5.520066618	6.2356561	5.062038298	5.203984388	4.89100757	5.654417813	5.794991581	4.648976093	5.613283381	5.326789012	5.909751403
cgd8_1160-RA	na	6.390566297	6.274487278	7.10302977	7.371884994	7.379009194	6.668289744	6.844748594	5.987148323	6.784377671	7.465451477	7.711984885	7.724936957
cgd8_1170-RA	na	3.779408455	4.753531578	4.202713186	4.242063963	3.684873515	5.462014094	4.868587159	3.010884513	3.779961752	3.010884513	4.446703726	4.476275426
cgd8_1190-RA	na	3.010884513	4.369463144	4.560125758	3.010884513	3.010884513	3.010884513	4.084683297	4.577797821	3.010884513	3.719397979	4.446703726	3.010884513
cgd8_1220-RA	na	4.278151787	3.010884513	4.560125758	3.546137356	4.768724174	3.932083313	4.494029121	5.31112632	3.779961752	4.548110207	4.721855065	3.010884513
cgd8_1240-RA	na	5.007451295	3.909778619	4.237190184	3.598038351	4.187404623	4.534519367	4.76072529	3.010884513	4.353598721	4.599481555	4.771892765	5.212486284
cgd8_1260-RA	na	3.010884513	4.369463144	3.726523662	4.242063963	4.142445442	3.010884513	5.024762615	3.010884513	4.648976093	3.010884513	4.446703726	4.131405811
cgd8_1270-RA	na	5.739503338	6.151928238	5.77214752	5.686780226	5.80889005	5.68039417	5.716827816	5.794991581	5.578735597	4.548110207	5.97831686	5.521092207
cgd8_1280-RA	na	5.186450583	5.306845616	5.628579063	5.468205933	5.80889005	6.037597039	6.114660735	6.308392469	4.648976093	5.454182522	5.623489969	5.364177671
cgd8_130-RA	na	4.278151787	4.753531578	4.202713186	4.242063963	3.010884513	4.89100757	3.88172386	4.577797821	4.648976093	4.548110207	3.010884513	4.754403979
cgd8_1340-RA	na	6.78313626	7.478058057	7.640928336	6.91055123	7.154391638	7.440823684	6.88607359	7.155172666	7.114896262	6.850492346	6.425519636	6.542989103
cgd8_1350-RA	na	3.779408455	4.369463144	3.010884513	3.546137356	3.684873515	3.932083313	3.88172386	3.010884513	3.010884513	4.548110207	4.106407252	3.677302643
cgd8_1360-RA	na	4.278151787	4.369463144	5.469128481	5.468205933	4.768724174	5.20457829	5.209739543	5.573250018	5.187493604	3.719397979	5.151897008	5.791462568
cgd8_1380-RA	na	4.648067155	3.844513052	3.010884513	3.546137356	3.010884513	3.010884513	3.9867697	4.99056321	3.779961752	3.719397979	5.482753432	5.791462568
cgd8_140-RA	na	5.885038906	6.151928238	6.421382869	6.513152812	7.104944422	6.187716881	6.713158024	5.573250018	6.784377671	6.31505567	5.751709507	6.019072212
cgd8_1400-RA	na	4.278151787	4.369463144	3.010884513	4.896527863	4.489304987	4.489792337	3.511037221	4.577797821	4.278934887	4.192457143	5.326789012	4.987482059
